,Measure,Anno,GLM,ARX,NAX
0,RMSE,2012,26689.147694877745,26130.520285878785,8209.080638308847
1,MAPE,2012,0.058057903084364725,0.05660111445984258,0.016803163329152337
2,APL,2012,7433.116685915699,7240.683587710111,2134.5913933258134
3,LRU,2012,0.3041249299863413,1.7594811610808712,0.6283797799432721
4,LRC,2012,33.260154935261426,27.346733002102678,29.994967312729234
5,RMSE,2013,31033.08814201312,31022.658619769456,8588.250257941452
6,MAPE,2013,0.06382826801569161,0.06467990821577946,0.017913839333281698
7,APL,2013,8256.054836535086,8329.357052243213,2320.9773380139445
8,LRU,2013,14.338006860131433,19.00017821188128,1.1046074588987613
9,LRC,2013,78.59609743134048,74.01361949331799,3.766129621732832
10,RMSE,2014,26780.210032023242,26971.47663906192,8262.542830106373
11,MAPE,2014,0.060637110583531745,0.060814016151501366,0.01852559504308329
12,APL,2014,7638.754468888942,7698.037780153694,2310.830102033284
13,LRU,2014,1.206507912912262,1.7425411517421425,7.898824387963513
14,LRC,2014,20.03304836081903,14.709790254867753,29.073172116722553
15,RMSE,2015,28508.15367245025,28251.815886737302,8884.621522874939
16,MAPE,2015,0.06440312637851933,0.06269594823677073,0.019690502662349847
17,APL,2015,7985.796789280469,7849.401739762159,2465.4363749012937
18,LRU,2015,1.7425411517421425,3.8729577734354175,7.898824387963513
19,LRC,2015,30.3848153024446,37.68938608747238,29.073172116722553
20,RMSE,2016,28183.902648925483,27761.40193825817,7756.393778778601
21,MAPE,2016,0.06300862031056301,0.061657172821506304,0.018070162799762084
22,APL,2016,7810.80978738285,7623.756307910199,2199.8764972589447
23,LRU,2016,1.206507912912262,1.7425411517421425,9.381738660356378
24,LRC,2016,25.199199811510038,35.23473222840359,11.89172987954132
