,Measure,Year,GLM,ARX,NAX
0,RMSE,2012,26689.147694877745,26130.52505316969,8083.956953184821
1,MAPE,2012,0.058057903084364725,0.05660112957884726,0.016679352988463365
2,APL,2012,7433.116685915699,7240.685500446471,2139.858420181555
3,LRU,2012,0.3041249299863413,1.7594811610808712,3.1243749148822313
4,LRC,2012,33.260154935261426,27.346733002102678,14.390725070811671
5,RMSE,2013,31033.08814201312,31022.658515844287,9601.929953669554
6,MAPE,2013,0.06382826801569161,0.06467991276914126,0.020507192313832787
7,APL,2013,8256.054836535086,8329.35736639134,2770.915715893453
8,LRU,2013,14.338006860131433,19.00017821188128,7.546271374775664
9,LRC,2013,78.59609743134048,74.01361949331799,9.556482818119683
10,RMSE,2014,26780.210032023242,26971.472294148094,9798.316463044659
11,MAPE,2014,0.060637110583531745,0.06081401000046621,0.023279063246916618
12,APL,2014,7638.754468888942,7698.036447421226,2810.3642687264564
13,LRU,2014,1.206507912912262,1.7425411517421425,24.314256675353302
14,LRC,2014,20.03304836081903,14.709790254867753,24.336356235296144
15,RMSE,2015,28508.15367245025,28251.82106419892,11038.731172265272
16,MAPE,2015,0.06440312637851933,0.06269596602428115,0.025656151521845503
17,APL,2015,7985.796789280469,7849.403989154215,3154.7843855956794
18,LRU,2015,1.7425411517421425,3.8729577734354175,0.03651284287722525
19,LRC,2015,30.3848153024446,37.68938608747238,26.985102749371393
20,RMSE,2016,28183.902648925483,27761.401214491765,7669.055361071681
21,MAPE,2016,0.06300862031056301,0.06165717461801348,0.017528165883371798
22,APL,2016,7810.80978738285,7623.756284669711,2239.2136102147956
23,LRU,2016,1.206507912912262,1.7425411517421425,1.7761775062209761
24,LRC,2016,25.199199811510038,35.23473222840359,35.20999983885155
